invoice_no,issue_date,currency,fx_rate,seller_trn,seller_name,buyer_name,buyer_trn,buyer_country,buyer_emirate,buyer_type,txn_type_code,total_excl_vat,total_vat,total_incl_vat,line_no,description,qty,unit_price,line_amount,vat_category,vat_rate,vat_amount,line_amount_aed,vat_amount_aed
INV-2026-1001,2026-06-04,SAR,4.02351287,100321654900003,Sample Seller FZE,Nordic Imports AB,,SE,,B2B,1000,103750.00,0.00,103750.00,1,Data migration,5,9000.00,45000.00,Z,0,0.00,44069.98,0.00
INV-2026-1001,2026-06-04,SAR,4.02351287,100321654900003,Sample Seller FZE,Nordic Imports AB,,SE,,B2B,1000,103750.00,0.00,103750.00,2,Power BI dashboard build,2,12000.00,24000.00,Z,0,0.00,23503.99,0.00
INV-2026-1001,2026-06-04,SAR,4.02351287,100321654900003,Sample Seller FZE,Nordic Imports AB,,SE,,B2B,1000,103750.00,0.00,103750.00,3,Support hours,5,450.00,2250.00,Z,0,0.00,2203.50,0.00
INV-2026-1001,2026-06-04,SAR,4.02351287,100321654900003,Sample Seller FZE,Nordic Imports AB,,SE,,B2B,1000,103750.00,0.00,103750.00,4,Reconciliation setup,5,6500.00,32500.00,Z,0,0.00,31828.32,0.00
INV-2026-1002,2026-06-02,AED,,100321654900003,Sample Seller FZE,Gulf Marine Services,100456789100003,AE,Abu Dhabi,B2B,1000,55950.00,2797.50,58747.50,1,Monthly reporting pack,2,3500.00,7000.00,S,5,350.00,7000.00,350.00
INV-2026-1002,2026-06-02,AED,,100321654900003,Sample Seller FZE,Gulf Marine Services,100456789100003,AE,Abu Dhabi,B2B,1000,55950.00,2797.50,58747.50,2,Consulting day,5,2500.00,12500.00,S,5,625.00,12500.00,625.00
INV-2026-1002,2026-06-02,AED,,100321654900003,Sample Seller FZE,Gulf Marine Services,100456789100003,AE,Abu Dhabi,B2B,1000,55950.00,2797.50,58747.50,3,Support hours,1,450.00,450.00,S,5,22.50,450.00,22.50
INV-2026-1002,2026-06-02,AED,,100321654900003,Sample Seller FZE,Gulf Marine Services,100456789100003,AE,Abu Dhabi,B2B,1000,55950.00,2797.50,58747.50,4,Data migration,4,9000.00,36000.00,S,5,1800.00,36000.00,1800.00
INV-2026-1003,2026-06-04,SAR,,100321654900003,Sample Seller FZE,Nordic Imports AB,,SE,,B2B,1000,2250.00,0.00,2250.00,1,Support hours,5,450.00,2250.00,Z,0,0.00,2203.50,0.00
INV-2026-1004,2026-06-04,AED,,100321654900003,Sample Seller FZE,Sharjah Textiles FZE,100987654300003,AE,AE-SH,B2B,1000,24000.00,1200.00,25200.00,1,Power BI dashboard build,2,12000.00,24000.00,S,5,1200.00,24000.00,1200.00
INV-2026-1005,2026-06-08,USD,3.6725,100321654900003,Sample Seller FZE,Riyadh Build Co,,SA,,B2B,1000,51400.00,0.00,51400.00,1,Reconciliation setup,5,6500.00,32500.00,Z,0,0.00,,
INV-2026-1005,2026-06-08,USD,3.6725,100321654900003,Sample Seller FZE,Riyadh Build Co,,SA,,B2B,1000,51400.00,0.00,51400.00,2,Support hours,2,450.00,900.00,Z,0,0.00,,
INV-2026-1005,2026-06-08,USD,3.6725,100321654900003,Sample Seller FZE,Riyadh Build Co,,SA,,B2B,1000,51400.00,0.00,51400.00,3,Data migration,2,9000.00,18000.00,Z,0,0.00,,
INV-2026-1006,2026-06-09,AED,,100321654900003,Sample Seller FZE,RAK Ceramics Distribution,100556677800003,AE,RAK,B2B,1000,1800.00,90.00,1890.00,1,Training session,1,1800.00,1800.00,S,5,90.00,1800.00,90.00
INV-2026-1007,2026-06-09,SAR,0.979333,100321654900003,Sample Seller FZE,Nordic Imports AB,,SE,,B2B,1000,48400.00,0.00,48400.00,1,Data migration,1,9000.00,9000.00,Z,0,0.00,,
INV-2026-1007,2026-06-09,SAR,0.979333,100321654900003,Sample Seller FZE,Nordic Imports AB,,SE,,B2B,1000,48400.00,0.00,48400.00,2,Training session,3,1800.00,5400.00,Z,0,0.00,,
INV-2026-1007,2026-06-09,SAR,0.979333,100321654900003,Sample Seller FZE,Nordic Imports AB,,SE,,B2B,1000,48400.00,0.00,48400.00,3,Monthly reporting pack,2,3500.00,7000.00,Z,0,0.00,,
INV-2026-1007,2026-06-09,SAR,0.979333,100321654900003,Sample Seller FZE,Nordic Imports AB,,SE,,B2B,1000,48400.00,0.00,48400.00,4,Data migration,3,9000.00,27000.00,Z,0,0.00,,
INV-2026-1008,2026-06-08,AED,,100321654900003,Sample Seller FZE,Al Noor Trading LLC,100234567800003,AE,AE-DU,B2B,1000,6500.00,325.00,6825.00,1,Reconciliation setup,1,6500.00,6500.00,S,5,325.00,6500.00,325.00
INV-2026-1009,2026-06-12,AED,,100321654900003,Sample Seller FZE,RAK Ceramics Distribution,100556677800003,AE,RAK,B2B,1000,2500.00,125.00,2625.00,1,Consulting day,1,2500.00,2500.00,S,5,125.00,2500.00,125.00
